JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.PpsAdminUIStrings	210	0	JetBrains	data/legal	0
JetBrains.ReSharper.Features.Inspections.dll	JetBrains.ReSharper.Features.Inspections.Resources.Strings	207	1	JetBrains	ui	0
Microsoft.CodeAnalysis.dll	Microsoft.CodeAnalysis.CodeAnalysisResources	196	0	third-party	third-party	0
JetBrains.ReSharper.Daemon.Engine.dll	JetBrains.ReSharper.Daemon.Resources.Strings	194	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.taxonomy	190	0	JetBrains	data/legal	0
DevExpress.XtraTreeList.v7.1.dll	DevExpress.XtraTreeList.Frames.TreeListPrinting	189	0	third-party	third-party	0
JetBrains.ReSharper.I18n.Services.dll	JetBrains.ReSharper.I18n.Services.Resources.Strings	184	1	JetBrains	ui	0
JetBrains.Platform.VisualStudio.Core.dll	JetBrains.VsIntegration.Resources.Strings	180	1	JetBrains	ui	0
JetBrains.Platform.Ide.dll	JetBrains.IDE.Resources.Strings	177	1	JetBrains	ui	0
JetBrains.Platform.UIInteractive.Shell.Common.dll	JetBrains.UI.Resources.CommonStrings	173	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.PPSImportUtilityStrings	168	0	JetBrains	data/legal	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.obaui	153	0	JetBrains	data/legal	0
JetBrains.DotTrace.Features.dll	JetBrains.DotTrace.Features.Resources.Strings	150	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.Microsoft.Office.Server.Search	149	0	JetBrains	data/legal	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.SearchAdmin	149	0	JetBrains	data/legal	0
yWorks.yFilesWPF.Complete.dll	dt.IqlN	147	0	third-party	third-party	0
JetBrains.ReSharper.Intentions.VB.dll	JetBrains.ReSharper.Intentions.VB.Resources.Strings	145	1	JetBrains	ui	0
Microsoft.CodeAnalysis.CSharp.Features.dll	Microsoft.CodeAnalysis.CSharp.CSharpFeaturesResources	143	0	third-party	third-party	0
DevExpress.XtraEditors.v7.1.dll	DevExpress.XtraEditors.LocalizationRes	142	0	third-party	third-party	0
JetBrains.PsiFeatures.VisualStudio.Backend.dll	JetBrains.PsiFeatures.VisualStudio.Backend.Resources.Strings	140	1	JetBrains	ui	0
JetBrains.ReSharper.Feature.Services.Web.dll	JetBrains.ReSharper.Feature.Services.Web.Resources.Strings	139	1	JetBrains	ui	0
Microsoft.WindowsAPICodePack.Shell.dll	Microsoft.WindowsAPICodePack.Shell.Resources.LocalizedMessages	132	0	third-party	third-party	0
JetBrains.Platform.Standalone.Shell.Avalonia.dll	JetBrains.Standalone.Shell.Avalonia.Resources.Strings	131	1	JetBrains	ui	0
ActiproSoftware.Text.Wpf.dll	ActiproSoftware.Products.Text.Resources	124	0	third-party	third-party	0
Microsoft.CodeAnalysis.Workspaces.dll	Microsoft.CodeAnalysis.WorkspacesResources	122	0	third-party	third-party	0
JetBrains.ReSharper.Intentions.Xaml.dll	JetBrains.ReSharper.Intentions.Xaml.Resources.Strings	119	1	JetBrains	ui	0
JetBrains.Platform.VisualStudio.Backend.dll	JetBrains.Platform.VisualStudio.Backend.Resources.Strings	116	1	JetBrains	ui	0
NuGet.Protocol.dll	NuGet.Protocol.Strings	114	0	third-party	third-party	0
JetBrains.ReSharper.UnitTesting.Analysis.dll	JetBrains.ReSharper.UnitTesting.Analysis.Resources.Strings	112	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.VB.dll	JetBrains.ReSharper.Psi.VB.Resources.Strings	110	1	JetBrains	ui	0
JetBrains.ReSharper.ExternalServices.Grazie.dll	JetBrains.ReSharper.ExternalServices.Grazie.Resources.GrammarAndSpellingStrings	109	1	JetBrains	ui	0
JetBrains.PsiFeatures.UIInteractive.SolutionAnalysis.dll	JetBrains.PsiFeatures.UIInteractive.SolutionAnalysis.Resources.Strings	103	1	JetBrains	ui	0
Microsoft.CodeAnalysis.CSharp.Features.dll	Microsoft.CodeAnalysis.CSharp.CSharpAnalyzersResources	103	0	third-party	third-party	0
NuGet.PackageManagement.dll	NuGet.PackageManagement.Strings	101	0	third-party	third-party	0
JetBrains.Platform.ProjectModel.Host.dll	JetBrains.ProjectModel.ProjectsHost.Resources.Strings	97	1	JetBrains	ui	0
JetBrains.ReSharper.Features.SolBuilderDuo.dll	JetBrains.ReSharper.Features.SolBuilderDuo.Resources.Strings	97	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTestFramework.dll	JetBrains.ReSharper.UnitTestFramework.Src.Features.TestLinker.Strings	97	1	JetBrains	ui	0
JetBrains.PsiFeatures.VisualStudio.Debugger.dll	JetBrains.PsiFeatures.VisualStudio.Debugger.Resources.Strings	92	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Features.dll	Microsoft.CodeAnalysis.AnalyzersResources	92	0	third-party	third-party	0
JetBrains.ReSharper.Diagramming.Features.dll	JetBrains.ReSharper.Features.Diagramming.Resources.Strings	90	1	JetBrains	ui	0
JetBrains.Platform.VisualStudio.SinceVs10.dll	JetBrains.Platform.VisualStudio.SinceVs10.Resources.Strings	88	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Internal.dll	JetBrains.ReSharper.Features.Internal.Resources.Strings	88	1	JetBrains	ui	0
JetBrains.Common.SubsystemsManagement.Core.dll	JetBrains.Common.SubsystemsManagement.Resources.Strings	86	1	JetBrains	ui	0
JetBrains.ReSharper.Refactorings.Xaml.dll	JetBrains.ReSharper.Refactorings.Xaml.Resources.Strings	85	1	JetBrains	ui	0
JetBrains.ReSharper.NewRefactorings.dll	JetBrains.ReSharper.Refactorings.Properties.Resources	84	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Web.Linters.dll	JetBrains.ReSharper.Features.Web.Linters.Resources.Strings	82	1	JetBrains	ui	0
JetBrains.Platform.Shell.dll	JetBrains.Application.Resources.VsResources	81	1	JetBrains	ui	0
JetBrains.Common.Util.dll	JetBrains.Common.Util.Resources.Strings	81	1	JetBrains	ui	0
JetBrains.DPA.Monitoring.GUI.Avalonia.dll	JetBrains.DPA.Monitoring.Avalonia.Resources.Strings	81	1	JetBrains	ui	0
JetBrains.ReSharper.Features.RegExp.dll	JetBrains.ReSharper.Features.RegExp.Resources.Strings	81	1	JetBrains	ui	0
JetBrains.ReSharper.Features.ReSpeller.dll	JetBrains.ReSharper.Features.ReSpeller.Resources.Strings	81	1	JetBrains	ui	0
DevExpress.Utils.v7.1.dll	LocalizationRes	80	0	third-party	third-party	0
JetBrains.DPA.Monitoring.dll	DPA.Monitoring.Resources.Strings	79	1	JetBrains	ui	0
yWorks.yFilesWPF.Complete.dll	dt.AqHz	79	0	third-party	third-party	0
JetBrains.ReSharper.Refactorings.Html.dll	JetBrains.ReSharper.Refactorings.Resources.Strings13	77	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.Specific.dll	JetBrains.ReSharper.Daemon.Specific.Resources.Strings	74	1	JetBrains	ui	0
JetBrains.PsiFeatures.UIInteractive.SolutionBuilder.dll	JetBrains.PsiFeatures.UIInteractive.SolutionBuilder.Resources.Strings	70	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.ipfs	70	0	JetBrains	data/legal	0
JetBrains.ReSharper.Feature.Services.AI.dll	JetBrains.ReSharper.Feature.Services.AI.Resources.Strings	69	1	JetBrains	ui	0
Microsoft.VisualStudio.TestPlatform.ObjectModel.dll	Microsoft.VisualStudio.TestPlatform.ObjectModel.Resources.Resources	68	0	third-party	third-party	0
Microsoft.WindowsAPICodePack.dll	Microsoft.WindowsAPICodePack.Resources.LocalizedMessages	68	0	third-party	third-party	0
JetBrains.PsiFeatures.VisualStudio.Core.dll	JetBrains.PsiFeatures.VisualStudio.Core.Resources.Strings	67	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Features.dll	Microsoft.CodeAnalysis.CodeFixesResources	66	0	third-party	third-party	0
JetBrains.Profiler.Home.Presentation.dll	JetBrains.Profiler.Home.Presentation.Resources.Strings	64	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Environment.dll	JetBrains.ReSharper.Features.Environment.Resources.Strings	63	1	JetBrains	ui	0
JetBrains.Common.Resources.dll	JetBrains.Common.Resources.Resources.Strings	59	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Xml.dll	JetBrains.ReSharper.Psi.Xml.Resources.Strings	59	1	JetBrains	ui	0
JetBrains.dotTrace.Home.Presentation.dll	JetBrains.dotTrace.Home.Presentation.Resources.Strings	58	1	JetBrains	ui	0
JetBrains.DotTrace.ViewModel.dll	JetBrains.DotTrace.ViewModel.Resources.Strings	57	1	JetBrains	ui	0
JetBrains.Platform.Shell.dll	JetBrains.Application.Res.StringTable	56	1	JetBrains	ui	0
JetBrains.Platform.UIInteractive.Shell.dll	JetBrains.UI.Resources.StringTable	56	1	JetBrains	ui	0
JetBrains.PsiFeatures.UIInteractive.Core.dll	JetBrains.PsiFeatures.UIInteractive.Core.Resources.Strings	55	1	JetBrains	ui	0
JetBrains.ReSharper.Intentions.Xml.dll	JetBrains.ReSharper.Intentions.Xml.Resources.Strings	54	1	JetBrains	ui	0
JetBrains.ReSharper.Refactorings.VB.dll	JetBrains.ReSharper.Refactorings.VB.Resources.Strings	53	1	JetBrains	ui	0
NuGet.Configuration.dll	NuGet.Configuration.Resources	53	0	third-party	third-party	0
Microsoft.CodeAnalysis.Workspaces.dll	Microsoft.CodeAnalysis.CompilerExtensionsResources	52	0	third-party	third-party	0
JetBrains.ReSharper.Feature.Services.VB.dll	JetBrains.ReSharper.Feature.Services.VB.Resources.LocalizedStrings	50	1	JetBrains	ui	0
Microsoft.CodeAnalysis.VisualBasic.Workspaces.dll	Microsoft.CodeAnalysis.VisualBasic.VBWorkspaceResources	49	0	third-party	third-party	0
JetBrains.ReSharper.Feature.Services.Xaml.dll	JetBrains.ReSharper.Feature.Services.Xaml.Resources.Strings	48	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Xaml.dll	JetBrains.ReSharper.Psi.Xaml.Resources.Strings	48	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.xlsrv	47	0	JetBrains	data/legal	0
ActiproSoftware.Docking.Wpf.dll	ActiproSoftware.Products.Docking.Resources	45	0	third-party	third-party	0
Microsoft.CodeAnalysis.CSharp.Features.dll	Microsoft.CodeAnalysis.CSharp.CSharpCodeFixesResources	45	0	third-party	third-party	0
Microsoft.Web.XmlTransform.dll	Microsoft.Web.XmlTransform.Properties.Resources	44	0	third-party	third-party	0
WPFToolkit.dll	ExceptionStringTable	43	0	third-party	third-party	0
JetBrains.Platform.DocumentManager.dll	JetBrains.DocumentManagers.Resources.Strings	43	1	JetBrains	ui	0
JetBrains.ReSharper.SolutionAnalysis.dll	JetBrains.ReSharper.Daemon.SolutionAnalysis.Resources.Strings	43	1	JetBrains	ui	0
JetBrains.ReSharper.Feature.Services.dll	JetBrains.ReSharper.Feature.Services.Resources.GroupingStrings	42	1	JetBrains	ui	0
JetBrains.Platform.UIInteractive.Avalonia.Shell.dll	JetBrains.UI.Avalonia.Resources.Strings	42	1	JetBrains	ui	0
JetBrains.Platform.Text.Protocol.dll	JetBrains.TextControl.Resources.Strings	41	1	JetBrains	ui	0
